05/12 17:09:02:676	touchX: 1057 touchY: 242
05/12 17:09:02:681	touchX: 1050 touchY: 244
05/12 17:09:02:691	touchX: 1050 touchY: 244
05/12 17:09:02:698	touchX: 1041 touchY: 243
05/12 17:09:02:711	touchX: 1029 touchY: 242
05/12 17:09:02:720	touchX: 1016 touchY: 243
05/12 17:09:02:732	touchX: 1000 touchY: 241
05/12 17:09:02:738	touchX: 984 touchY: 241
05/12 17:09:02:751	touchX: 966 touchY: 241
05/12 17:09:02:758	touchX: 949 touchY: 242
05/12 17:09:02:770	touchX: 931 touchY: 243
05/12 17:09:02:778	touchX: 913 touchY: 247
05/12 17:09:02:791	touchX: 895 touchY: 251
05/12 17:09:02:798	touchX: 876 touchY: 257
05/12 17:09:02:812	touchX: 876 touchY: 257
05/12 17:09:03:355	touchX: 1024 touchY: 252
05/12 17:09:03:359	touchX: 1024 touchY: 252
05/12 17:09:03:377	touchX: 1019 touchY: 247
05/12 17:09:03:392	touchX: 1015 touchY: 242
05/12 17:09:03:400	touchX: 1011 touchY: 233
05/12 17:09:03:411	touchX: 1008 touchY: 224
05/12 17:09:03:418	touchX: 1005 touchY: 212
05/12 17:09:03:423	touchX: 1004 touchY: 199
05/12 17:09:03:439	touchX: 1003 touchY: 183
05/12 17:09:03:453	touchX: 1005 touchY: 164
05/12 17:09:03:457	touchX: 1009 touchY: 143
05/12 17:09:03:470	touchX: 1014 touchY: 121
05/12 17:09:03:478	touchX: 1020 touchY: 103
05/12 17:09:03:490	touchX: 1023 touchY: 86
05/12 17:09:03:528	touchX: 1023 touchY: 86
05/12 17:09:04:555	touchX: 1091 touchY: 235
05/12 17:09:04:563	touchX: 1090 touchY: 236
05/12 17:09:04:568	touchX: 1094 touchY: 235
05/12 17:09:04:595	touchX: 1100 touchY: 235
05/12 17:09:04:603	touchX: 1108 touchY: 233
05/12 17:09:04:616	touchX: 1117 touchY: 233
05/12 17:09:04:623	touchX: 1131 touchY: 233
05/12 17:09:04:637	touchX: 1145 touchY: 231
05/12 17:09:04:641	touchX: 1163 touchY: 229
05/12 17:09:04:654	touchX: 1183 touchY: 228
05/12 17:09:04:663	touchX: 1205 touchY: 226
05/12 17:09:04:675	touchX: 1229 touchY: 225
05/12 17:09:04:683	touchX: 1251 touchY: 222
05/12 17:09:04:695	touchX: 1271 touchY: 221
05/12 17:09:04:703	touchX: 1289 touchY: 221
05/12 17:09:04:716	touchX: 1302 touchY: 220
05/12 17:09:04:723	touchX: 1312 touchY: 221
05/12 17:09:04:762	touchX: 1312 touchY: 221
05/12 17:09:06:658	touchX: 1171 touchY: 273
05/12 17:09:06:664	touchX: 1170 touchY: 277
05/12 17:09:06:676	touchX: 1170 touchY: 277
05/12 17:09:06:686	touchX: 1170 touchY: 277
05/12 17:09:06:696	touchX: 1167 touchY: 273
05/12 17:09:06:705	touchX: 1164 touchY: 269
05/12 17:09:06:710	touchX: 1161 touchY: 261
05/12 17:09:06:723	touchX: 1159 touchY: 249
05/12 17:09:06:738	touchX: 1157 touchY: 233
05/12 17:09:06:744	touchX: 1157 touchY: 212
05/12 17:09:06:756	touchX: 1157 touchY: 187
